product_name,brands,stores,nutriscore_grade,nutrition_score_fr,energy_kcal,fat_100g,saturated_fat_100g,sugars_100g,salt_100g,fiber_100g,proteins_100g,labels,origins,categories,url,code,has_label_bio,nutrient_density,scoring_nutritionnel_personnalise,qualite_nutritionnelle
COURMAYEUR Eau Minérale Naturelle 1.50 L,Courmayeur,"Auchan,Intermarché",A,,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,"Sans Colorants,Triman",Italie,"Boissons,Eaux,Eaux De Sources,Eaux Minérales,Boissons Sans Sucre Ajouté,Eaux Minérales Naturelles",https://world.openfoodfacts.org/product/8024884500403/courmayeur-eau-minerale-naturelle-1-50-l,8024884500403,False,0.0,0.0,Excellent
San Pellegrino,"San Pellegrino, Nestlé",Carrefour.Fr,A,,0.0,0.0,0.0,0.0,7.8e-06,0.0,0.0,"Point Vert,Triman",Italie,"Boissons,Boissons Gazeuses,Eaux,Eaux De Sources,Eaux Minérales,Eaux Gazeuses,Eaux Minérales Naturelles,Eau Minérale Naturelle Gazéifiée",https://world.openfoodfacts.org/product/8002270116544/san-pellegrino,8002270116544,False,0.0,0.0,Excellent
Guedila,Guedila,,A,,0.0,0.0,0.0,0.0,0.00725,0.0,0.0,Point Vert,Algérie,"Boissons,Eaux,Eaux De Sources,Eaux Minérales,Eaux Minérales Naturelles,Eau Minérale Naturelle Non Gazeuse",https://world.openfoodfacts.org/product/6130758000022/guedila,6130758000022,False,0.0,0.0,Excellent
Natural greek yogurt,Milbona (Lidl),Lidl,A,,49.6,0.0,0.0,4.0,0.152,0.0,8.32,"Source Of Proteins, High Proteins, En:Vegetarien","European Union,Vegetarien","Produits Laitiers,Fermented Foods,Fermented Milk Products,Desserts,Dairy Desserts,Fermented Dairy Desserts,Yogurts,Greek-Style Yogurts",https://world.openfoodfacts.org/product/20577391/natural-greek-yogurt-milbona-lidl,20577391,False,4.025974025974026,45.28,Excellent
MONT BLANC Eau Minérale Naturelle 1.50 L,Mont Blanc,Carrefour,A,,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,"Pauvre Ou Sans Sodium, Faible Teneur En Sodium, Sans Nitrates",,"Boissons, Eaux, Eaux De Sources, Eaux Minérales, Boissons Sans Alcool, Eaux Minérales Naturelles, Boissons Et Préparations De Boissons",https://world.openfoodfacts.org/product/8024884600301/mont-blanc-eau-minerale-naturelle-1-50-l,8024884600301,False,0.0,0.0,Excellent
Eau minérale naturelle gazeuse 50cl PET,"Nestlé, Nestlé Waters, San Pellegrino","Carrefour,Franprix",A,,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,"Nutriscore,Nutriscore A,Triman",Italie,"Boissons,Boissons Gazeuses,Eaux,Eaux De Sources,Eaux Minérales,Boissons Sans Sucre Ajouté,Eaux Gazeuses,Eaux Minérales Naturelles,Eaux Minérales Gazeuses",https://world.openfoodfacts.org/product/8002270015328/eau-minerale-naturelle-gazeuse-50cl-pet-nestle,8002270015328,False,0.0,0.0,Excellent
,Ifri,,A,,0.0,0.0,0.0,0.0,0.04013,0.0,0.0,Ifri,Algérie,"Boissons, Waters, Spring Waters, Mineral Waters, En:Natural-Mineral-Waters",https://world.openfoodfacts.org/product/6130093010069/ifri,6130093010069,False,0.0,0.0,Excellent
CONTREX eau minérale naturelle,Contrex,"Carrefour,E.Leclerc",A,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,"Pauvre Ou Sans Sodium,Point Vert,Faible Teneur En Sodium,Nutriscore,Triman","France,Contrexéville","Boissons Et Préparations De Boissons,Boissons,Eaux,Eaux De Sources,Eaux Minérales,Boissons Sans Sucre Ajouté,Eaux Minérales Naturelles",https://world.openfoodfacts.org/product/7613035866386/contrex-eau-minerale-naturelle,7613035866386,False,0.3333333333333333,0.00020000000000000004,Excellent
CONTREX eau minérale naturelle 1L,Contrex,Carrefour,A,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,"Point Vert, Nutriscore, Triman, Végétarien",France,"Boissons, Eaux, Eaux De Sources, Eaux Minérales, Eaux Minérales Naturelles, Boissons Sans Sucre Ajouté",https://world.openfoodfacts.org/product/3179730115821/contrex-eau-minerale-naturelle-1l,3179730115821,False,0.3333333333333333,0.00020000000000000004,Excellent
Delicia double concentre de tomates,Delicia,,A,,91.0,0.09,0.0,0.0,0.0,0.0,4.13,,,"Plant-Based Foods And Boissons, Plant-Based Foods, Fruits And Vegetables Based Foods, Vegetables Based Foods, Tomatoes And Their Products, Tomato Pastes",https://world.openfoodfacts.org/product/6111162001201/delicia-double-concentre-de-tomates,6111162001201,False,21.563981042654028,86.87,Excellent
